,Index,Ticker
0,0,DDD
1,1,MMM
2,2,WBAI
3,3,EGHT
4,4,AHC
5,5,AOS
6,6,ATEN
7,7,AIR
8,8,ABB
9,9,ABT
10,10,ABBV
11,11,ANF
12,12,AGD
13,13,AWP
14,14,ACP
15,15,JEQ
16,16,ASGI
17,17,AOD
18,18,ABM
19,19,AKR
20,20,ACEL
21,21,ACN
22,22,ACCO
23,23,ATV
24,24,AYI
25,25,GOLF
26,26,ADX
27,27,PEO
28,28,ADCT
29,29,AGRO
30,30,ADNT
31,31,ADT
32,32,ATGE
33,33,AAP
34,34,WMS
35,35,ASIX
36,36,AVK
37,37,IMPX
38,38,ACM
39,39,AEFC
40,40,AEB
41,41,AEG
42,42,AENZ
43,43,AER
44,44,AJRD
45,45,AMG
46,46,MGR
47,47,MGRB
48,48,AFL
49,49,MITT
50,50,AGCO
51,51,A
52,52,AEM
53,53,ADC
54,54,AL
55,55,APD
56,56,ALG
57,57,AGI
58,58,ALK
59,59,AIN
60,60,ALB
61,61,ACI
62,62,AA
63,63,ALC
64,64,ALEX
65,65,ALX
66,66,ARE
67,67,AQN
68,68,AQNA
69,69,AQNB
70,70,BABA
71,71,Y
72,72,ATI
73,73,ALLE
74,74,ALE
75,75,ADS
76,76,AFB
77,77,AWF
78,78,AB
79,79,AIO
80,80,CBH
81,81,NCV
82,82,NCZ
83,83,ACV
84,84,NFJ
85,85,NIE
86,86,ALSN
87,87,ALL
88,88,ALLY
89,89,PINE
90,90,ALTG
91,91,AYX
92,92,ATUS
93,93,ATAC
94,94,MO
95,95,ACH
96,96,ALUS
97,97,AMBC
98,98,ABEV
99,99,AMC
100,100,AMCR
101,101,AEE
102,102,AMRC
103,103,AMOV
104,104,AMX
105,105,AAT
106,106,AXL
107,107,ACC
108,108,AEO
109,109,AEL
110,110,AXP
111,111,AFG
112,112,AFGB
113,113,AFGC
114,114,AFGD
115,115,AFGE
116,116,AMH
117,117,AIG
118,118,ARL
119,119,ARA
120,120,AWR
121,121,AMT
122,122,AVD
123,123,AWK
124,124,AMWL
125,125,COLD
126,126,AMP
127,127,ABC
128,128,AMN
129,129,AMRX
130,130,AP
131,131,APH
132,132,AXR
133,133,HKIB
134,134,AME
135,135,PLAN
136,136,DYFN
137,137,FINS
138,138,AU
139,139,BUD
140,140,NLY
141,141,AM
142,142,AR
143,143,ANTM
144,144,ANH
145,145,AON
146,146,AIV
147,147,APG
148,148,ARI
149,149,APO
150,150,AFT
151,151,APSG
152,152,AIF
153,153,APLE
154,154,AIT
155,155,ATR
156,156,APTV
157,157,ARMK
158,158,ABR
159,159,ARC
160,160,MT
161,161,MTCN
162,162,ARCH
163,163,ADM
164,164,AROC
165,165,ARNC
166,166,ARCO
167,167,ACA
168,168,RCUS
169,169,ARD
170,170,ASC
171,171,AFC
172,172,ACRE
173,173,ARDC
174,174,ARES
175,175,AGX
176,176,ARGD
177,177,ARGO
178,178,ANET
179,179,AAIC
180,180,AIC
181,181,AIW
182,182,ARLO
183,183,AHH
184,184,ARR
185,185,AFI
186,186,AWI
187,187,ARW
188,188,AJG
189,189,APAM
190,190,ASA
191,191,ASAN
192,192,ABG
193,193,ACND
194,194,ASX
195,195,ASGN
196,196,AHT
197,197,ASH
198,198,ASPN
199,199,ASPL
200,200,AMK
201,201,ASB
202,202,AC
203,203,AIZ
204,204,AIZN
205,205,AIZP
206,206,AGO
207,207,HOME
208,208,T
209,209,TBB
210,210,TBC
211,211,ATTO
212,212,ATH
213,213,ATKR
214,214,AT
215,215,ASAQ
216,216,ATCO
217,217,ATO
218,218,ACB
219,219,ATHM
220,220,ALV
221,221,AN
222,222,AZO
223,223,AVLR
224,224,AVB
225,225,AGR
226,226,AVNS
227,227,AVAN
228,228,AVTR
229,229,AVYA
230,230,AVY
231,231,AVNT
232,232,AVA
233,233,AXTA
234,234,AXS
235,235,AX
236,236,AXO
237,237,AZUL
238,238,AZRE
239,239,AZZ
240,240,BGS
241,241,BW
242,242,BGH
243,243,BMI
244,244,BCSF
245,245,BKR
246,246,BBN
247,247,BLL
248,248,BALY
249,249,BANC
250,250,BBAR
